cat,author,permlink,author_reputation,rep_group,created,day,percent,total_payout_value
Независимые авторы,lar23,v-parikmaherskih-vsegda-smeyus-01-24,41.97100801290374,25-20,2018-01-28T19:00:45Z,28,0.0,0.0
Апвот 50-50,chornogorsky,vorzel-zimnii-les,70.77089487155536,70+,2018-01-28T19:16:00Z,28,1.8542983807187854,3115.262
Независимые авторы,ulla,onlain-kurs-triz-pedagogika-dlya-detei-i-roditelei-zanyatie-3-triz-igry-dlya-razvitiya-variativnosti-myshleniya-d-z,41.97742789538613,25-20,2018-01-28T19:19:33Z,28,2.380921258910211e-05,0.04
Независимые авторы,ursula,onlain-kurs-triz-pedagogika-dlya-detei-i-roditelei-zanyatie-3-triz-igry-dlya-razvitiya-variativnosti-myshleniya-d-z,52.22529483794342,50-60,2018-01-28T19:27:33Z,28,2.380921258910211e-05,0.04
PSK,dimtim,kastaneda-karlos-zhizn-i-uchenie,59.6570911821363,50-60,2018-01-28T19:32:42Z,28,3.0284693421507423,5087.895
Независимые авторы,tedysg,qowyp-privet-druzya-golos-menya-zovut-tedys,32.62149346089394,25-20,2018-01-28T19:49:06Z,28,1.547598818291637e-05,0.026000000000000002
Независимые авторы,alarm,re-alarm-ofiwuorjozodhihezdozkuf-20180129t013543447z,50.621506585591156,50-60,2018-01-28T20:35:42Z,28,0.0,0.0
Независимые авторы,tatyana54,v-ozhidanii-vesny,60.90761696692942,60-65,2018-01-28T20:51:21Z,28,1.9642600386009242e-05,0.033
Независимые авторы,whoib,solar-winds-solnechnye-vetry,29.727125861094713,25-20,2018-01-28T21:01:42Z,28,0.0,0.0
Независимые авторы,professor-black,ne-po-ponyatiyam-chast-2-rossiya-eto-putin-putin-eto-rossiya-eto-fakt-tut-bez-obid,24.622695995398068,0-25,2018-01-28T21:02:18Z,28,0.0,0.0
Независимые авторы,golem7,vsevidyashee-oko-vzglyad-devyanosto-sedmoi,55.831060293195264,50-60,2018-01-28T21:21:36Z,28,0.0,0.0
Независимые авторы,mamamasha,estafeta-cveta-krasnye-lilii,54.11327287678178,50-60,2018-01-28T21:32:21Z,28,3.095197636583274e-05,0.052000000000000005
Независимые авторы,habreplicator,perevod-chto-takoe-tokio-i-async-i-o-i-zachem-eto-nuzhno-347726,67.46930712397844,65-70,2018-01-28T21:47:48Z,28,0.0,0.0
Апвот 50-50,yrez1986,chto-na-etikh-fotografiyakh-ne-tak,44.9146203411035,25-20,2018-01-28T21:51:00Z,28,0.00038094740142563375,0.64
Независимые авторы,abcalan,nauka-i-zhizn-protez-kotorym-upravlyayut-siloi-mysli,45.63518708044422,25-20,2018-01-28T22:13:15Z,28,0.0,0.0
Апвот 50-50,brokenbrain,rossiiskii-moshennik-vydal-sebya-za-amerikanskogo-agenta,41.136212539734984,25-20,2018-01-28T22:20:48Z,28,0.0003386860490799775,0.569
Независимые авторы,xirax,peruvian-girl,29.60630468490469,25-20,2018-01-28T22:34:27Z,28,0.0,0.0
Vox Populi,vox.mens,proza-smert-poeta-chto-vy-znaete-ob-introvertakh,78.29779814299508,70+,2018-01-28T22:35:00Z,28,1.8375265761407071,3087.085
Апвот 50-50,yrez1986,vot-oni-kabinetnye-geroi,44.92922361804375,25-20,2018-01-28T22:35:33Z,28,7.559424997039919e-05,0.127
Vox Populi,vox.mens,recenziya-na-knigu-dva-goda-vosem-mesyacev-i-dvadcat-vosem-nochei,78.09275840472333,70+,2018-01-28T22:45:18Z,28,1.999607195610705,3359.384
Независимые авторы,borishaifa2,professiya-kripto-bloger-20180129t035455007z-cpeda,61.12245221971978,60-65,2018-01-28T22:54:54Z,28,3.095197636583274e-05,0.052000000000000005
Независимые авторы,unik09,2pddn5-estafeta-cvetov-krasnyi-ponedelnik,46.89473335152966,25-20,2018-01-28T23:16:00Z,28,3.9285200772018484e-05,0.066
Независимые авторы,abcalan,katren-kazhdyi-den-skazhite-mne-otkuda-ordena,46.824536819543454,25-20,2018-01-28T23:30:33Z,28,0.0,0.0
Апвот 50-50,jaath,5wwjrx-anekdot-pro-bitok,48.787955038183355,25-20,2018-01-28T23:37:42Z,28,0.0003226148305823336,0.542
Независимые авторы,nefer,etnokompleks-chochur-muran-kak-pravit-sobachei-upryazhkoi,72.01001373562431,70+,2018-01-28T23:43:09Z,28,0.006155276684597622,10.341
Независимые авторы,tinochka,poeticheskii-konkurs-o-vremeni-i-chasakh-ot-anonymous-author-vremya-nazad-ne-vozvratitsya,69.57147885604962,65-70,2018-01-28T23:43:45Z,28,4.404704328983891e-05,0.07400000000000001
Независимые авторы,olegst,peizazhi-ukrainy-otdykh-na-tiligulskom-limane-27,74.4238509636242,70+,2018-01-29T00:18:06Z,29,0.027334589822296907,69.061
